chunk_id,parent_id,text,chunk_index,total_chunks,source,category,content_type,is_time_sensitive,start_char,end_char,char_count,word_count
79c9ad1ade57,001,"Income Tax in Ghana is governed by the Income Tax Act, 2015 (Act 896) as amended by Act 941 (2016), Act 956 (2017) and Act 1,007 (2020). The Act replaced the old Internal Revenue Act 2000 (Act 592). A resident individual is taxed on worldwide income whereas a non-resident is only taxed on Ghana-source income. Residency is determined based on domicile, stay of 183 days or more in any 12-month period, or being an employee or official of the Government of Ghana posted abroad.",0,3,GRA_Income_Tax_Act_896,income_tax,formal,True,0,477,477,84
bc8116089462,001,"Tax rates for individuals are progressive ranging from 0% on the first GHS 5,880 of annual income to 35% on income above GHS 240,000 per year as at the latest amendment — always verify current bands at gra.gov.gh because the budget updates them. Self-employed individuals must file a tax return by 30 April of the following year. Employment income is taxed at source via the PAYE system.",1,3,GRA_Income_Tax_Act_896,income_tax,formal,True,478,865,387,67
f649debcd240,001,"Investment income such as dividends, interest and rent may be subject to withholding tax which can be final or credited depending on the payer and nature.",2,3,GRA_Income_Tax_Act_896,income_tax,formal,True,866,1020,154,26
cb771d292a4c,002,"Q: who pays income tax in Ghana? A: Every individual who earns income in Ghana is potentially subject to income tax. This includes salaried employees, self-employed persons, sole proprietors, partners in a partnership, and residents earning foreign income. Exemptions exist for certain incomes e.g. income of a person under a scholarship, pension income up to certain thresholds, gratuity and terminal benefits capped at a quarter of the total emoluments, gains from life insurance policies and certain agricultural income. ",0,2,GRA_FAQ_Individual_Taxes,income_tax,formal,False,0,524,524,78
b56538b08a1c,002,Q: what is chargeable income? A: Chargeable income is the amount of income on which you actually pay tax after deducting allowable reliefs and deductions from your total income. Total income minus allowable deductions equals chargeable income.,1,2,GRA_FAQ_Individual_Taxes,income_tax,formal,False,524,767,243,37
a88cd137742b,003,Pay As You Earn (PAYE) is the mechanism by which employers deduct income tax from employees salaries and wages at source and remit to GRA. An employer is required to register as a withholding agent with GRA. PAYE is calculated on the employee's monthly chargeable income after deducting mandatory Social Security (SSNIT) contributions of 5.5% and any applicable personal reliefs. The employer deducts PAYE every month and must file a monthly PAYE return and remit the tax by the 15th of the following month.,0,3,GRA_PAYE_Guide_2023,paye,formal,False,0,507,507,84
36dd539ddee5,003,"Failure to remit attracts a penalty of 10% of the tax due plus interest at the prevailing Bank of Ghana rate. At year-end, the employer issues each employee a P9 form (certificate of emoluments and PAYE deducted) which the employee uses for their annual tax return if required. An employee with multiple employers must disclose this to both employers and to GRA to ensure correct total PAYE.",1,3,GRA_PAYE_Guide_2023,paye,formal,False,508,899,391,67
93ab9b4128bc,003,An employee who earns only employment income and has had the correct PAYE deducted is not required to file a separate annual return unless GRA specifically requests one.,2,3,GRA_PAYE_Guide_2023,paye,formal,False,900,1069,169,28
edbbf70e5dd2,004,"PAYE rates for monthly income (approximate, always confirm at gra.gov.gh): First GHS 490 per month — 0%. Next GHS 110 — 5%. Next GHS 130 — 10%. Next GHS 3,000 — 17.5%. Next GHS 16,270 — 25%. Next GHS 20,000 — 30%. Exceeding GHS 20,000 monthly — 35%. Note: these bands are indexed to the national budget and may change annually. An employer who fails to deduct PAYE becomes personally liable for the undeducted tax. Expatriate employees working in Ghana are also subject to PAYE on their Ghana-source employment income regardless of where their salary is paid. Allowances such as housing, transport, utility and entertainment allowances paid to an employee are included in employment income for PAYE purposes unless specifically exempt under the Act.",0,1,GRA_PAYE_FAQ,paye,formal,False,0,749,749,124
16a307e7de74,005,"Companies operating in Ghana pay Corporate Income Tax (CIT) on their chargeable income. The standard CIT rate is 25%. However the following special rates apply: Companies engaged in non-traditional exports — 8%. Hotels and companies in the tourism sector — 22%. Financial institutions including banks — 35% (reduced to 25% for community banks and rural banks). Mining companies — 35%. Petroleum companies — variable under the applicable Petroleum Agreement, often around 35% plus additional oil entitlement.",0,2,GRA_Corporate_Tax_Overview,corporate_tax,formal,False,0,507,507,76
